Name,API Name,Instance Memory,Compute Units (ECU),vCPUs,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EMR cost
R5D Eight Extra Large,r5d.8xlarge,256 GiB,128 units,32 vCPUs,0,,0 GiB,0,0,4.0000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,1200 GB (2×600 GB NVMe SSD),Yes,No,x86_64,10 Gigabit,6800 Mbps,850 MB/s,30000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.7840 hourly,$1.7540 hourly,$3.5780 hourly,$2.5480 hourly,$2.9090 hourly,$1.8140 hourly,$4.2560 hourly,$3.2260 hourly,$4.7970 hourly,$3.7670 hourly,$8.0960 hourly,$7.0660 hourly,$16.2560 hourly,$15.2260 hourly,$3.3250 hourly,$2.2950 hourly,$6.6240 hourly,$5.5940 hourly,$14.7840 hourly,$13.7540 hourly,$0.2700 hourly
T3 Nano,t3.nano,0.5 GiB,0 units,2 vCPUs (1h 12m burst),0,,0 GiB,0,0,0.0000 units,Intel Skylake E5 2686 v5,3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 5 Gigabit,2085 Mbps,260.625 MB/s,11800 IOPS,Yes,4,2,Yes,Yes,No,Unknown,No,$0.0066 hourly,$0.0042 hourly,unavailable,unavailable,$0.0066 hourly,$0.0042 hourly,$0.0112 hourly,$0.0088 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M6A Double Extra Large,m6a.2xlarge,32 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,3.6 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.4320 hourly,$0.2858 hourly,$0.6872 hourly,$0.5410 hourly,$0.5570 hourly,$0.3457 hourly,$0.8000 hourly,$0.6538 hourly,$0.9352 hourly,$0.7890 hourly,$1.7600 hourly,$1.6138 hourly,$3.8000 hourly,$3.6538 hourly,$0.5672 hourly,$0.4210 hourly,$1.3920 hourly,$1.2458 hourly,$3.4320 hourly,$3.2858 hourly,$0.0864 hourly
R7I Metal-24xl,r7i.metal-24xl,768 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,37.5 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$7.6104 hourly,$5.0287 hourly,$8.6472 hourly,$6.0655 hourly,$7.7354 hourly,$5.0886 hourly,$12.0264 hourly,$9.4447 hourly,$13.6488 hourly,$11.0671 hourly,$23.5464 hourly,$20.9647 hourly,$48.0264 hourly,$45.4447 hourly,$9.2328 hourly,$6.6511 hourly,$19.1304 hourly,$16.5487 hourly,$43.6104 hourly,$41.0287 hourly,unavailable
R5B Double Extra Large,r5b.2xlarge,64 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,10000 Mbps,1250 MB/s,43333 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.7240 hourly,$0.4561 hourly,$0.8392 hourly,$0.5713 hourly,$0.8490 hourly,$0.5161 hourly,$1.0920 hourly,$0.8241 hourly,$1.2272 hourly,$0.9593 hourly,$2.0520 hourly,$1.7841 hourly,$4.0920 hourly,$3.8241 hourly,$0.8592 hourly,$0.5913 hourly,$1.6840 hourly,$1.4161 hourly,$3.7240 hourly,$3.4561 hourly,$0.1490 hourly
R8G Metal-48xl,r8g.metal-48xl,1536 GiB,0 units,192 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,50 Gigabit,40000 Mbps,5000 MB/s,240000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$13.5552 hourly,$8.9568 hourly,$15.3984 hourly,$10.8000 hourly,$13.6802 hourly,$9.0167 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
X2IEDN Metal,x2iedn.metal,4096 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Icelake),3.5 GHz,Yes,Yes,Yes,Yes,3800 GB (2×1900 GB NVMe SSD),Yes,No,x86_64,100 Gigabit,80000 Mbps,10000 MB/s,260000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$38.6820 hourly,$23.8010 hourly,$39.9108 hourly,$25.0298 hourly,$38.8070 hourly,$23.8610 hourly,$44.5700 hourly,$29.6890 hourly,$46.7332 hourly,$31.8522 hourly,$59.9300 hourly,$45.0490 hourly,$92.5700 hourly,$77.6890 hourly,$40.8452 hourly,$25.9642 hourly,$54.0420 hourly,$39.1610 hourly,$86.6820 hourly,$71.8010 hourly,unavailable
M6ID Metal,m6id.metal,512 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,7600 GB (4×1900 GB NVMe SSD),Yes,No,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$9.5424 hourly,$6.0117 hourly,$10.7712 hourly,$7.2405 hourly,$9.6674 hourly,$6.0716 hourly,$15.4304 hourly,$11.8997 hourly,$17.5936 hourly,$14.0629 hourly,$30.7904 hourly,$27.2597 hourly,$63.4304 hourly,$59.8997 hourly,$11.7056 hourly,$8.1749 hourly,$24.9024 hourly,$21.3717 hourly,$57.5424 hourly,$54.0117 hourly,unavailable
R3 High-Memory Quadruple Extra Large,r3.4xlarge,122 GiB,52 units,16 vCPUs,0,,0 GiB,0,0,3.2500 units,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,unknown,Yes,320 GB SSD,Yes,No,x86_64,High,2000 Mbps,250 MB/s,16000 IOPS,No,240,8,No,No,Yes,Unknown,Yes,$1.5960 hourly,$1.1930 hourly,$1.9970 hourly,$1.4900 hourly,$1.6960 hourly,$1.2260 hourly,$2.3630 hourly,$1.8320 hourly,$2.7830 hourly,$1.9490 hourly,$5.0730 hourly,$4.4630 hourly,$8.3320 hourly,$7.9520 hourly,$1.8700 hourly,$1.3640 hourly,$3.5200 hourly,$3.0140 hourly,$7.6000 hourly,$7.0940 hourly,$0.2700 hourly
C7A 32xlarge,c7a.32xlarge,256 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
Z1D 12xlarge,z1d.12xlarge,384 GiB,235 units,48 vCPUs,0,,0 GiB,0,0,4.8958 units,Intel Xeon Platinum 8151,4 GHz,Yes,Yes,Yes,Yes,1800 GB (2×900 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$5.4240 hourly,$3.4170 hourly,$6.6140 hourly,$4.6080 hourly,$5.5490 hourly,$3.4770 hourly,$7.6320 hourly,$5.6250 hourly,$8.4430 hourly,$6.4360 hourly,$13.3920 hourly,$11.3850 hourly,$25.6320 hourly,$23.6250 hourly,$6.2350 hourly,$4.2280 hourly,$11.1840 hourly,$9.1770 hourly,$23.4240 hourly,$21.4170 hourly,$0.2700 hourly
T3 Large,t3.large,8 GiB,0 units,2 vCPUs (7h 12m burst),0,,0 GiB,0,0,0.0000 units,Intel Skylake E5 2686 v5,3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 5 Gigabit,2780 Mbps,347.5 MB/s,15700 IOPS,Yes,36,3,Yes,Yes,No,Unknown,No,$0.1056 hourly,$0.0665 hourly,$0.1344 hourly,$0.0953 hourly,$0.1619 hourly,$0.0915 hourly,$0.1332 hourly,$0.0941 hourly,$0.2008 hourly,$0.1617 hourly,unavailable,unavailable,unavailable,unavailable,$0.1732 hourly,$0.1341 hourly,unavailable,unavailable,unavailable,unavailable,unavailable
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,768 GiB,0 units,192 vCPUs,8,NVIDIA A10G,192 GiB,8.6,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,unknown,unknown,unknown,unknown,7600 GB (2×3800 GB NVMe SSD),Yes,No,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,350,7,Yes,Yes,Yes,Unknown,Yes,$21.1776 hourly,$13.3419 hourly,$23.0208 hourly,$15.1851 hourly,$21.3026 hourly,$13.4018 hourly,$30.0096 hourly,$22.1739 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$4.0720 hourly
M7A 12xlarge,m7a.12xlarge,192 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,18.75 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$3.4776 hourly,$2.3004 hourly,$4.6680 hourly,$3.4908 hourly,$3.6026 hourly,$2.3603 hourly,$5.6856 hourly,$4.5084 hourly,$6.4968 hourly,$5.3196 hourly,$11.4456 hourly,$10.2684 hourly,$23.6856 hourly,$22.5084 hourly,$4.2888 hourly,$3.1116 hourly,$9.2376 hourly,$8.0604 hourly,$21.4776 hourly,$20.3004 hourly,$0.6955 hourly
M6A Large,m6a.large,8 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,3.6 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.1080 hourly,$0.0714 hourly,$0.1368 hourly,$0.1002 hourly,$0.1643 hourly,$0.0964 hourly,$0.2000 hourly,$0.1634 hourly,$0.2676 hourly,$0.2310 hourly,$0.6800 hourly,$0.6434 hourly,unavailable,unavailable,$0.1756 hourly,$0.1390 hourly,$0.5880 hourly,$0.5514 hourly,unavailable,unavailable,unavailable
G5 Graphics and Machine Learning GPU 12xlarge,g5.12xlarge,192 GiB,0 units,48 vCPUs,4,NVIDIA A10G,96 GiB,8.6,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,unknown,unknown,unknown,unknown,3800 GB NVMe SSD,Yes,No,x86_64,40 Gigabit,16000 Mbps,2000 MB/s,65000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$7.3747 hourly,$4.6461 hourly,$7.8931 hourly,$5.1645 hourly,$7.4997 hourly,$4.7060 hourly,$9.5827 hourly,$6.8541 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$1.4180 hourly
C6ID Quadruple Extra Large,c6id.4xlarge,32 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,950 GB NVMe SSD,Yes,No,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.0584 hourly,$0.6668 hourly,$1.4552 hourly,$1.0636 hourly,$1.1834 hourly,$0.7267 hourly,$1.7944 hourly,$1.4028 hourly,$2.0648 hourly,$1.6732 hourly,$3.7144 hourly,$3.3228 hourly,$7.7944 hourly,$7.4028 hourly,$1.3288 hourly,$0.9372 hourly,$2.9784 hourly,$2.5868 hourly,$7.0584 hourly,$6.6668 hourly,$0.2016 hourly
P2 General Purpose GPU Eight Extra Large,p2.8xlarge,488 GiB,97 units,32 vCPUs,4,NVIDIA Tesla K80,96 GiB,3.7,0,3.0313 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,10 Gigabit,N/A,0 MB/s,0 IOPS,No,N/A,N/A,Yes,Yes,Yes,Unknown,Yes,$12.3360 hourly,unavailable,$13.1300 hourly,unavailable,$12.4360 hourly,unavailable,$13.8080 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.2700 hourly
C5N Double Extra Large,c5n.2xlarge,21 GiB,39 units,8 vCPUs,0,,0 GiB,0,0,4.8750 units,Intel Xeon Platinum 8124M,3 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 25 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.5640 hourly,$0.3550 hourly,$0.6790 hourly,$0.4710 hourly,$0.6890 hourly,$0.4150 hourly,$0.9320 hourly,$0.7230 hourly,$1.0670 hourly,$0.8590 hourly,$1.8920 hourly,$1.6830 hourly,$3.9320 hourly,$3.7230 hourly,$0.6990 hourly,$0.4910 hourly,$1.5240 hourly,$1.3150 hourly,$3.5640 hourly,$3.3550 hourly,$0.1080 hourly
M6ID 24xlarge,m6id.24xlarge,384 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,5700 GB (4×1425 GB NVMe SSD),Yes,No,x86_64,37.5 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$7.1568 hourly,$4.5088 hourly,$9.5376 hourly,$6.8896 hourly,$7.2818 hourly,$4.5687 hourly,$11.5728 hourly,$8.9248 hourly,$13.1952 hourly,$10.5472 hourly,$23.0928 hourly,$20.4448 hourly,$47.5728 hourly,$44.9248 hourly,$8.7792 hourly,$6.1312 hourly,$18.6768 hourly,$16.0288 hourly,$43.1568 hourly,$40.5088 hourly,$1.4238 hourly
M5ZN Metal,m5zn.metal,192 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8252,4.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$4.9560 hourly,$3.1122 hourly,$6.1464 hourly,$4.3026 hourly,$5.0810 hourly,$3.1722 hourly,$7.1640 hourly,$5.3202 hourly,$7.9752 hourly,$6.1314 hourly,$12.9240 hourly,$11.0802 hourly,$25.1640 hourly,$23.3202 hourly,$5.7672 hourly,$3.9234 hourly,$10.7160 hourly,$8.8722 hourly,$22.9560 hourly,$21.1122 hourly,unavailable
C5N Extra Large,c5n.xlarge,10.5 GiB,20 units,4 vCPUs,0,,0 GiB,0,0,5.0000 units,Intel Xeon Platinum 8124M,3 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 25 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.2820 hourly,$0.1780 hourly,$0.3400 hourly,$0.2350 hourly,$0.3380 hourly,$0.2280 hourly,$0.4660 hourly,$0.3620 hourly,$0.5340 hourly,$0.4290 hourly,$0.9460 hourly,$0.8420 hourly,$1.9660 hourly,$1.8620 hourly,$0.3500 hourly,$0.2450 hourly,$0.7620 hourly,$0.6580 hourly,$1.7820 hourly,$1.6780 hourly,$0.0540 hourly
I2 Double Extra Large,i2.2xlarge,61 GiB,27 units,8 vCPUs,0,,0 GiB,0,0,3.3750 units,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,unknown,Yes,1600 GB (2×800 GB SSD),Yes,No,x86_64,High,1000 Mbps,125 MB/s,8000 IOPS,No,60,4,No,No,Yes,Unknown,Yes,$2.0350 hourly,$1.2200 hourly,$2.2910 hourly,$1.3520 hourly,$2.1350 hourly,$1.2560 hourly,$2.3370 hourly,$1.6280 hourly,$2.5850 hourly,$1.6640 hourly,$4.2540 hourly,$2.2130 hourly,$5.4030 hourly,$4.5920 hourly,$2.1710 hourly,$1.2320 hourly,$2.9960 hourly,$2.0570 hourly,$5.0360 hourly,$4.0970 hourly,$0.2700 hourly
R6A 32xlarge,r6a.32xlarge,1024 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,3.6 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$8.6976 hourly,$5.7471 hourly,$11.2704 hourly,$8.3199 hourly,$8.8226 hourly,$5.8070 hourly,$14.5856 hourly,$11.6351 hourly,$16.7488 hourly,$13.7983 hourly,$29.9456 hourly,$26.9951 hourly,$62.5856 hourly,$59.6351 hourly,$10.8608 hourly,$7.9103 hourly,$24.0576 hourly,$21.1071 hourly,$56.6976 hourly,$53.7471 hourly,$1.8144 hourly
M6IN 12xlarge,m6in.12xlarge,192 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,75 Gigabit,37500 Mbps,4687.5 MB/s,150000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$4.2120 hourly,$2.6536 hourly,$5.4024 hourly,$3.8440 hourly,$4.3370 hourly,$2.7135 hourly,$6.4200 hourly,$4.8616 hourly,$7.2312 hourly,$5.6728 hourly,$12.1800 hourly,$10.6216 hourly,$24.4200 hourly,$22.8616 hourly,$5.0232 hourly,$3.4648 hourly,$9.9720 hourly,$8.4136 hourly,$22.2120 hourly,$20.6536 hourly,$0.8354 hourly
R7A Eight Extra Large,r7a.8xlarge,256 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M6I Large,m6i.large,8 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.1200 hourly,$0.0794 hourly,$0.1838 hourly,$0.1432 hourly,$0.1763 hourly,$0.1044 hourly,$0.2120 hourly,$0.1714 hourly,$0.2796 hourly,$0.2390 hourly,$0.6920 hourly,$0.6514 hourly,unavailable,unavailable,$0.1876 hourly,$0.1470 hourly,$0.6000 hourly,$0.5594 hourly,unavailable,unavailable,unavailable
M4 General Purpose Double Extra Large,m4.2xlarge,32 GiB,26 units,8 vCPUs,0,,0 GiB,0,0,3.2500 units,Intel Xeon E5-2676 v3 (Haswell),2.4 GHz,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,High,1000 Mbps,125 MB/s,8000 IOPS,No,60,4,Yes,Yes,Yes,Unknown,Yes,$0.5000 hourly,$0.3360 hourly,$0.6152 hourly,$0.4512 hourly,$0.6000 hourly,$0.3690 hourly,$0.8680 hourly,$0.7040 hourly,$1.0090 hourly,$0.8440 hourly,$1.8280 hourly,$1.6640 hourly,$3.8680 hourly,$3.7040 hourly,$0.6352 hourly,$0.4712 hourly,$1.4600 hourly,$1.2960 hourly,$3.5000 hourly,$3.3360 hourly,$0.1200 hourly
M6I 32xlarge,m6i.32xlarge,512 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$7.6800 hourly,$5.0803 hourly,$8.9088 hourly,$6.3091 hourly,$7.8050 hourly,$5.1403 hourly,$13.5680 hourly,$10.9683 hourly,$15.7312 hourly,$13.1315 hourly,$28.9280 hourly,$26.3283 hourly,$61.5680 hourly,$58.9683 hourly,$9.8432 hourly,$7.2435 hourly,$23.0400 hourly,$20.4403 hourly,$55.6800 hourly,$53.0803 hourly,$1.5360 hourly
R5D Quadruple Extra Large,r5d.4xlarge,128 GiB,70 units,16 vCPUs,0,,0 GiB,0,0,4.3750 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,600 GB (2×300 GB NVMe SSD),Yes,No,x86_64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,18750 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.3920 hourly,$0.8770 hourly,$1.7890 hourly,$1.2740 hourly,$1.5170 hourly,$0.9370 hourly,$2.1280 hourly,$1.6130 hourly,$2.3980 hourly,$1.8830 hourly,$4.0480 hourly,$3.5330 hourly,$8.1280 hourly,$7.6130 hourly,$1.6620 hourly,$1.1470 hourly,$3.3120 hourly,$2.7970 hourly,$7.3920 hourly,$6.8770 hourly,$0.2700 hourly
M7A 32xlarge,m7a.32xlarge,512 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$9.2736 hourly,$6.1345 hourly,$11.8464 hourly,$8.7073 hourly,$9.3986 hourly,$6.1944 hourly,$15.1616 hourly,$12.0225 hourly,$17.3248 hourly,$14.1857 hourly,$30.5216 hourly,$27.3825 hourly,$63.1616 hourly,$60.0225 hourly,$11.4368 hourly,$8.2977 hourly,$24.6336 hourly,$21.4945 hourly,$57.2736 hourly,$54.1345 hourly,$1.8547 hourly
I4I Quadruple Extra Large,i4i.4xlarge,128 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,3750 GB NVMe SSD,Yes,No,x86_64,Up to 25 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.6460 hourly,$1.0740 hourly,$1.8180 hourly,$1.2470 hourly,$1.7710 hourly,$1.1340 hourly,$2.3820 hourly,$1.8100 hourly,$2.6520 hourly,$2.0810 hourly,$4.3020 hourly,$3.7300 hourly,$8.3820 hourly,$7.8100 hourly,$1.9160 hourly,$1.3450 hourly,$3.5660 hourly,$2.9940 hourly,$7.6460 hourly,$7.0740 hourly,$0.3432 hourly
M7I Large,m7i.large,8 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.1260 hourly,$0.0833 hourly,$0.1898 hourly,$0.1472 hourly,$0.1823 hourly,$0.1084 hourly,$0.2180 hourly,$0.1754 hourly,$0.2856 hourly,$0.2429 hourly,$0.6980 hourly,$0.6553 hourly,unavailable,unavailable,$0.1936 hourly,$0.1510 hourly,$0.6060 hourly,$0.5634 hourly,unavailable,unavailable,unavailable
R6IN Quadruple Extra Large,r6in.4xlarge,128 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 50 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.6942 hourly,$1.0673 hourly,$2.0910 hourly,$1.4641 hourly,$1.8192 hourly,$1.1272 hourly,$2.4302 hourly,$1.8033 hourly,$2.7006 hourly,$2.0737 hourly,$4.3502 hourly,$3.7233 hourly,$8.4302 hourly,$7.8033 hourly,$1.9646 hourly,$1.3377 hourly,$3.6142 hourly,$2.9873 hourly,$7.6942 hourly,$7.0673 hourly,$0.3487 hourly
R6IDN 16xlarge,r6idn.16xlarge,512 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,3800 GB (2×1900 GB NVMe SSD),Yes,No,x86_64,100 Gigabit,50000 Mbps,6250 MB/s,200000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$7.6378 hourly,$4.8118 hourly,$8.3290 hourly,$5.5030 hourly,$7.7628 hourly,$4.8717 hourly,$10.5818 hourly,$7.7558 hourly,$11.6634 hourly,$8.8374 hourly,$18.2618 hourly,$15.4358 hourly,$34.5818 hourly,$31.7558 hourly,$8.7194 hourly,$5.8934 hourly,$15.3178 hourly,$12.4918 hourly,$31.6378 hourly,$28.8118 hourly,$1.5631 hourly
